name,m_source_file,m_ep_file,m_lep_file,m_ep_time,m_lep_time,m_div_mat_time,m_globals_time,m_locals_time,m_total_time,m_np_eig_time,g_avg_node_degree,g_order,g_size,g_directed,g_density,g_connected_components,ep_percent_nt_vertices,ep_percent_nt_elements,ep_num_elements,ep_size_max,ep_size_min,ep_size_avg,ep_size_variance,ep_size_std_dev,ep_size_median,ep_size_mode,ep_size_range,ep_size_iqr,ep_size_skewness,ep_size_kurtosis,lep_percent_vnt_leps,lep_percent_ent_leps,lep_percent_ent_vertices,lep_num_leps,lep_size_max,lep_size_min,lep_size_avg,lep_size_variance,lep_size_std_dev,lep_size_median,lep_size_mode,lep_size_range,lep_size_iqr,lep_size_skewness,lep_size_kurtosis
bio-celegans.clean,/home/pseely/research/datasets/undirected/biological/bio-celegans-dir/bio-celegans.clean.txt,ep_data.pkl,lep_data.pkl,0.00409555435180664,0.00166058540344238,0.00201749801635742,0.155128717422485,0.00450873374938965,0.167970657348633,0.173153162002563,4.47019867549669,453,2025,False,0.019779640157065,1,0.136865342163355,0.0668257756563246,419,4,1,1.08114558472554,0.112747136322987,0.335778403598247,1,1,3,0,5.18681096737212,32.5613440596372,0.0645933014354067,0.00239234449760766,0.0132450331125828,418,2,1,1.00239234449761,0.00238662118541242,0.0488530570733544,1,1,1,0,20.3716076459747,413.002398081534
bio-dmela.clean,/home/pseely/research/datasets/undirected/biological/bio-dmela/bio-dmela.clean.txt,ep_data.pkl,lep_data.pkl,0.0888934135437012,0.0213508605957031,0.057300329208374,353.224903821945,0.0732753276824951,353.501655340195,509.248296022415,3.45854186392533,7393,25569,False,0.000935752668810967,1,0.225213039361558,0.0945305090104331,6326,31,1,1.16866898514069,0.632790103201847,0.795481051441106,1,1,30,0,13.7325652392499,364.832203203322,0.0923783869434321,0.00190144192679449,0.00757473285540376,6311,3,1,1.00237680240849,0.00332187418220133,0.0576357023224436,1,1,2,0,27.1874278518074,810.98936415633
bn-cat-mixed-species_brain_1.clean,/home/pseely/research/datasets/undirected/brain/bn-cat-mixed-species_brain_1/bn-cat-mixed-species_brain_1.clean.txt,ep_data.pkl,lep_data.pkl,0.00105190277099609,0.000295639038085938,0.000358819961547852,0.000742435455322266,7.15255737304688E-06,0.00236201286315918,0.000792980194091797,11.2307692307692,65,730,False,0.350961538461538,1,0,0,65,1,1,1,0,0,1,1,0,0,nan,nan,0,0,0,65,1,1,1,0,0,1,1,0,0,nan,nan
bn-fly-drosophila_medulla_1.clean,/home/pseely/research/datasets/undirected/brain/bn-fly-drosophila_medulla_1/bn-fly-drosophila_medulla_1.clean.txt,ep_data.pkl,lep_data.pkl,0.022188663482666,0.00608372688293457,0.0114438533782959,5.45574522018433,0.010432243347168,5.50455951690674,6.66220784187317,5.06232453677709,1781,9016,False,0.00568800509750235,6,0.129702414373947,0.0514075887392901,1634,19,1,1.08996328029376,0.380523499263658,0.616865868129902,1,1,18,0,17.9323769393242,457.429250464575,0.0514075887392901,0,0,1634,1,1,1,0,0,1,1,0,0,nan,nan
CA-GrQc.clean,/home/pseely/research/datasets/undirected/collaboration/ca-GrQc.txt/CA-GrQc.clean.txt,ep_data.pkl,lep_data.pkl,0.0795893669128418,0.0143709182739258,0.0237221717834473,60.4768509864807,0.111641407012939,60.6733689308167,178.517999410629,2.76535673407097,5242,14496,False,0.00105527828050791,355,0.47367417016406,0.186855290303566,3393,355,1,1.54494547597996,51.25475856614,7.15924287659945,1,1,354,0,41.3684694033437,1898.19846628219,0.182760663507109,0.00355450236966825,0.0518885921404044,3376,3,1,1.0050355450237,0.00797227361806788,0.0892875893843477,1,1,2,0,19.3885255876046,398.071208165668
road-euroroad.clean,/home/pseely/research/datasets/undirected/road/road-euroroad/road-euroroad.clean.txt,ep_data.pkl,lep_data.pkl,0.00987792015075684,0.0023033618927002,0.00256729125976563,2.25301957130432,0.0023491382598877,2.27084636688232,2.37653183937073,1.20698466780239,1174,1417,False,0.00205794487263834,26,0.0783645655877343,0.024346257889991,1109,24,1,1.05861136158702,0.567349198824927,0.753225861760553,1,1,23,0,26.2113464504622,777.063429305239,0.0136736554238833,0.00638103919781222,0.0442930153321976,1097,5,1,1.01093892433911,0.0254044967255522,0.159387881363522,1,1,4,0,18.7044476282623,404.271452116203
road-minnesota.clean,/home/pseely/research/datasets/undirected/road/road-minnesota/road-minnesota.clean.txt,ep_data.pkl,lep_data.pkl,0.0352036952972412,0.00580978393554688,0.0132334232330322,30.6648948192596,0.00194406509399414,30.7503936290741,31.0549626350403,1.25018925056775,2642,3303,False,0.000946754449502273,2,0.00832702498107494,0.00418091980235652,2631,2,1,1.00418091980236,0.00416343971196278,0.064524721711626,1,1,1,0,15.3683446296308,234.186016655101,0.00342335488779003,0.000760745530620008,0.00302800908402725,2629,2,1,1.00076074553062,0.000760166796857649,0.0275711225171854,1,1,1,0,36.2146484357464,1309.5007613247
musae_ENGB_edges.clean,/home/pseely/research/datasets/undirected/social/twitch/ENGB/musae_ENGB_edges.clean.csv,ep_data.pkl,lep_data.pkl,0.0907442569732666,0.0259060859680176,0.0759196281433106,405.055099010468,0.0226972103118897,405.328546047211,478.262056827545,4.9570586584339,7126,35324,False,0.00139145506201653,1,0.0916362615773225,0.026323706377858,6648,44,1,1.07190132370638,0.827561848265396,0.909704264178967,1,1,43,0,29.1322600125616,1092.41602718878,0.0258841234010534,0.000451467268623025,0.00168397417906259,6645,2,1,1.00045146726862,0.000451263445928387,0.0212429622682051,1,1,1,0,47.0319088669723,2210.00045167118
musae_ES_edges.clean,/home/pseely/research/datasets/undirected/social/twitch/ES/musae_ES_edges.clean.csv,ep_data.pkl,lep_data.pkl,0.119790077209473,0.0834710597991943,0.0697562694549561,126.721432209015,0.00517129898071289,126.975718975067,135.618510484695,12.775817555938,4648,59382,False,0.00549852272689393,1,0.0221600688468158,0.00699147913480446,4577,14,1,1.01551234433035,0.0720774794740103,0.268472492956002,1,1,13,0,31.9935849071528,1332.28259566098,0.00699147913480446,0,0,4577,1,1,1,0,0,1,1,0,0,nan,nan
musae_PTBR_edges.clean,/home/pseely/research/datasets/undirected/social/twitch/PTBR/musae_PTBR_edges.clean.csv,ep_data.pkl,lep_data.pkl,0.0548224449157715,0.0510234832763672,0.024688720703125,8.30861139297485,0.00292301177978516,8.40102934837341,8.65961241722107,16.369769874477,1912,31299,False,0.0171321505750675,1,0.024581589958159,0.0111346765641569,1886,4,1,1.01378579003181,0.0210188597344501,0.144978825124396,1,1,3,0,13.6337258195743,226.991861804291,0.0106100795755968,0.000530503978779841,0.00209205020920502,1885,2,1,1.00053050397878,0.00053022254430834,0.0230265617126904,1,1,1,0,43.3820300445422,1880.00053078556
